"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2009","Prov. Luxembourg (BE)","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.30",""
"2009","Prov. Luxembourg (BE)","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Prov. Namur","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","48.90",""
"2009","Prov. Namur","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.30",""
"2009","Prov. Namur","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Extra-Regio NUTS 1","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Extra-Regio NUTS 1","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Extra-Regio NUTS 1","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Extra-Regio NUTS 2","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Extra-Regio NUTS 2","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Extra-Regio NUTS 2","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Bulgaria","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","1,829.00",""
"2009","Bulgaria","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","2.70",""
"2009","Bulgaria","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severna i yugoiztochna Bulgaria","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severna i yugoiztochna Bulgaria","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severna i yugoiztochna Bulgaria","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severozapaden","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severozapaden","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severozapaden","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severen tsentralen","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severen tsentralen","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severen tsentralen","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severoiztochen","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severoiztochen","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severoiztochen","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Yugoiztochen","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Yugoiztochen","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Yugoiztochen","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Yugozapadna i yuzhna tsentralna Bulgaria","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Yugozapadna i yuzhna tsentralna Bulgaria","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Yugozapadna i yuzhna tsentralna Bulgaria","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Yugozapaden","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Yugozapaden","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Yugozapaden","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Yuzhen tsentralen","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Yuzhen tsentralen","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Yuzhen tsentralen","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Extra-Regio NUTS 1","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Extra-Regio NUTS 1","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Extra-Regio NUTS 1","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Extra-Regio NUTS 2","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Extra-Regio NUTS 2","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Extra-Regio NUTS 2","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severna Bulgaria (SRE 2005)","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severna Bulgaria (SRE 2005)","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Severna Bulgaria (SRE 2005)","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
